Product id,Product company,Product category,price/value,stars,Product name
B0B76NLKNH,Bucktool,Tools & Home Improvement ,339.98,4.4,BUCKTOOL 12 INCH 6.2A Professional Bench Drill Press
B0CG5KBXSW,Deejoy,Toys & Games ,38.88,4.3,Deejoy Tool Set with Tool Box & Electronic Toy Drill
B010A6ZBX4,WORKPRO,Tools & Home Improvement ,33.99,4.6,WORKPRO Home Tool Kit
B06Y5Q4VZD,Wrap-It Storage,Electronics ,19.99,4.8,Heavy-Duty Wrap-It Storage Straps (Assorted 6 Pack) - Extension Cord Holder
B0BVCS2PMT,INTERTOOL,Tools & Home Improvement ,35.99,4.7,INTERTOOL 114-Piece Magnetic Screwdriver Set with Premium Rack
B07YBM5C7L,JOYIN,Toys & Games ,25.99,4.1,JOYIN 4-in-1 Kids Tool Set
B0CCRMGP21,KOOPOOL,Tools & Home Improvement ,18.99,4.7,KOOPOOL LED Rechargeable Flashlight Gloves Outdoor Fishing Gloves Cool Gadgets Tools Glove Lights Finger Unique Birthday Gifts Stocking Stuffers for Men Dad Father Husband
B087V3S7P4,Aliglow,Home & Kitchen ,9.89,4.7,Aliglow Meat Tenderizer Hammer Tool/Pounder For Tenderizing Steak Beef Poultry
B0C3LY8JNV,SUNHZ MCKP,Tools & Home Improvement ,38.99,4.9,SUNHZMCKP 124-Piece Magnetic Screwdriver set
B079HCJPPP,Best Choice Products,Home & Kitchen ,29.99,4.1,Best Choice Products Fireplace Tool Set 5pc Indoor Wrought Iron Outdoor Firepit Tool Set w/Poker
B0B1XBNNJ3,Fosiweelo,"Patio, Lawn & Garden ",9.99,4.5,Garden Tool Set
B099NRF98L,RYOBI,Tools & Home Improvement ,69.0,4.4,RYOBI PBLMT50B ONE+ HP 18-Volt Brushless Cordless Multi-Tool (Tool Only)
B09T6JQ66P,DIFFLIFE,Tools & Home Improvement ,16.99,4.5,DIFFLIFE 40-Piece Tool Set - General Household Hand Tool Kit with Plastic Toolbox Storage Case…
B000IG3RG0,Lucas Oil,Tools & Home Improvement ,9.49,4.8,LUCAS OIL 10200 Air Tool Lubricant - 1 Quart
B0BZGRT54R,KITEVICH,Tools & Home Improvement ,9.99,4.8,3 Pack Telescoping Magnet Pick-up Tool Set - Retrieving Telescoping Magnet Pickup Tools，Extendable Magnetic Pick Up Tools，Bendable Spring Magnet Stick
B07V6RYWW8,DEKOPRO,Tools & Home Improvement ,59.99,4.7,DEKOPRO 158 Piece Tool Set-General Household Hand Tool Kit
B0CHF7M6L9,REXBETI,Toys & Games ,36.99,4.8,REXBETI 10-Piece Kids Tool Set with Real Hand Tools
B0CJJHRR4J,TOOLIFE,Tools & Home Improvement ,26.99,4.5,TOOLIFE Telescoping Magnetic Pickup Tool Set 5pcs
B00I3PNFVK,Milwaukee,Tools & Home Improvement ,95.49,4.8,Milwaukee 2626-20 M18 18V Lithium Ion Cordless 18
B09P52DRRN,BACUTHY,Tools & Home Improvement ,4.78,3.8,BACUTHY 2 Pack Jeweler's Pick Up Tool
B0CK2G98VQ,Craft911,Tools & Home Improvement ,7.98,4.5,Craft911 Premium Tool Pouch - Small Tool Bag Zipper Pouch Water Resistant | Electrician Small Tool Pouch | Tool Pouches w/Clip | Heavy duty Flat Bottom Tool Pouch Bags for Men - Pack of 2
B0BZ7GMCST,Blisstime,"Arts, Crafts & Sewing ",11.99,4.6,Blisstime 18PCS Clay Sculpting Tools
B001U8LADM,Unger,Health & Household ,96.24,3.6,Unger PWK00 Pro Window Cleaning Kit w/8ft Pole
B0020T17J2,Slime,Automotive ,2.77,4.7,Slime 20088 Valve Tool
B0BV98JZ22,SKYBASIC,Industrial & Scientific ,39.99,4.6,SKYBASIC Industrial Endoscope Borescope Camera with Light
B0C3R381FC,Daxiongmao,Industrial & Scientific ,43.99,4.5,Daxiongmao Borescope
B0BGMX631Z,MOXILS,"Patio, Lawn & Garden ",26.98,4.6,Gardening Tools
B0BDDFB4P5,MtiolHig,Tools & Home Improvement ,32.99,4.3,Cordless LED Work Light for Milwaukee 18v Battery
B09VS3BK8G,WellMall,Tools & Home Improvement ,59.99,4.7,WellMall Garage Organization and Drill Storage - 2 Pack Power Tool Organizer Wall Mount Style
B0076O6G60,Hape,Toys & Games ,17.3,4.8,Hape Fix It Kid's Wooden Tool Box and Accessory Play Set
B0BF76JDCC,Klein Tools,Tools & Home Improvement ,39.97,4.8,Klein Tools 85076INS Insulated Screwdriver Set features 1000V Screwdrivers
B0BPNNZ67B,RIDA,Tools & Home Improvement ,29.99,4.5,RIDA Cordless Screwdriver 4V Electric Screwdriver Rechargeable Screw Gun Kit w/10+1 Torque & 2 Position Handle
B01F8IRNTO,CARTMAN,Tools & Home Improvement ,29.69,4.6,CARTMAN 160 Piece General Household Hand Tool Set Kit with Plastic Toolbox Electricians Tools
B085Y3V3NW,Saker,Tools & Home Improvement ,39.99,4.6,Saker Contour Duplication Gauge-Adjustable Lock -Precisely Copy Irregular Shape -Irregular Welding Woodworking Tracing - Must Have Tool for DIY Handyman
B0C52GLXYP,Saranna,Industrial & Scientific ,89.99,4.3,Endoscope Camera with Light 3 Lens
B0947XTHF8,Saker,"Patio, Lawn & Garden ",89.99,4.5,Saker Mini Chainsaw
B0002RI6GG,Klein Tools,Tools & Home Improvement ,11.61,4.6,Klein Tools 5225 Tool Belt
B0B97JG2T2,HOTO,Tools & Home Improvement ,89.99,4.5,HOTO 35 In 1 Cordless Rotary Tool Kit
B07CZWBYBK,AOBEN,Tools & Home Improvement ,79.99,4.4,AOBEN Cordless Electric Ratchet Wrench Set
B07RC6KP19,Lmaytech,Tools & Home Improvement ,21.99,4.4,Lmaytech Tool Gifts for Men 2Pack Rechargeable LED Work Lights with Magnetic Base
B0BDRRYQ4D,Fudragtn,Tools & Home Improvement ,13.99,4.5,6PCS Snowflake Multitool
B0B8N1C92G,PERWIN,Tools & Home Improvement ,32.42,4.4,Multitool
B00E5KX968,Milwaukee,Tools & Home Improvement ,13.5,4.7,Milwaukee Heavy Duty Contractors Bag 11x11x10
B09P3FTB6Y,Sundpey,Tools & Home Improvement ,41.99,4.4,Sundpey Home Tool Kit 148-Pcs - Household Basic Complete Hand Repair portable Tool Set with Case & Ratcheting Screwdriver & Hex Key & Pliers & Wrench & Voltage Tester & Water Pump Plier for Men Women
B0BJH52913,Bernzomatic,Tools & Home Improvement ,53.09,4.6,Bernzomatic FirePoint Creator Tool
